workload_index	request_id	prompt_file	bucket	chars
0	sharegpt_001106	eam-workload/processed/prompts_1k/0000_sharegpt_001106.txt	long	1412
1	sharegpt_000049	eam-workload/processed/prompts_1k/0001_sharegpt_000049.txt	medium	272
2	sharegpt_001767	eam-workload/processed/prompts_1k/0002_sharegpt_001767.txt	long	1833
3	sharegpt_001914	eam-workload/processed/prompts_1k/0003_sharegpt_001914.txt	short	180
4	sharegpt_000364	eam-workload/processed/prompts_1k/0004_sharegpt_000364.txt	short	44
5	sharegpt_000207	eam-workload/processed/prompts_1k/0005_sharegpt_000207.txt	short	66
6	sharegpt_000737	eam-workload/processed/prompts_1k/0006_sharegpt_000737.txt	short	47
7	sharegpt_000164	eam-workload/processed/prompts_1k/0007_sharegpt_000164.txt	medium	784
8	sharegpt_000109	eam-workload/processed/prompts_1k/0008_sharegpt_000109.txt	long	1992
9	sharegpt_001848	eam-workload/processed/prompts_1k/0009_sharegpt_001848.txt	short	128
10	sharegpt_000806	eam-workload/processed/prompts_1k/0010_sharegpt_000806.txt	medium	715
11	sharegpt_000076	eam-workload/processed/prompts_1k/0011_sharegpt_000076.txt	medium	484
12	sharegpt_000409	eam-workload/processed/prompts_1k/0012_sharegpt_000409.txt	long	1252
13	sharegpt_001030	eam-workload/processed/prompts_1k/0013_sharegpt_001030.txt	short	132
14	sharegpt_001681	eam-workload/processed/prompts_1k/0014_sharegpt_001681.txt	medium	564
15	sharegpt_000462	eam-workload/processed/prompts_1k/0015_sharegpt_000462.txt	short	133
16	sharegpt_000511	eam-workload/processed/prompts_1k/0016_sharegpt_000511.txt	medium	424
17	sharegpt_000802	eam-workload/processed/prompts_1k/0017_sharegpt_000802.txt	medium	645
18	sharegpt_000081	eam-workload/processed/prompts_1k/0018_sharegpt_000081.txt	short	54
19	sharegpt_000228	eam-workload/processed/prompts_1k/0019_sharegpt_000228.txt	medium	753
20	sharegpt_001191	eam-workload/processed/prompts_1k/0020_sharegpt_001191.txt	long	1960
21	sharegpt_000537	eam-workload/processed/prompts_1k/0021_sharegpt_000537.txt	long	1114
22	sharegpt_001958	eam-workload/processed/prompts_1k/0022_sharegpt_001958.txt	medium	340
23	sharegpt_001060	eam-workload/processed/prompts_1k/0023_sharegpt_001060.txt	short	54
24	sharegpt_001937	eam-workload/processed/prompts_1k/0024_sharegpt_001937.txt	short	30
25	sharegpt_001380	eam-workload/processed/prompts_1k/0025_sharegpt_001380.txt	short	32
26	sharegpt_001957	eam-workload/processed/prompts_1k/0026_sharegpt_001957.txt	long	1162
27	sharegpt_001524	eam-workload/processed/prompts_1k/0027_sharegpt_001524.txt	medium	459
28	sharegpt_000487	eam-workload/processed/prompts_1k/0028_sharegpt_000487.txt	short	44
29	sharegpt_001172	eam-workload/processed/prompts_1k/0029_sharegpt_001172.txt	long	1554
30	sharegpt_000397	eam-workload/processed/prompts_1k/0030_sharegpt_000397.txt	medium	274
31	sharegpt_000827	eam-workload/processed/prompts_1k/0031_sharegpt_000827.txt	long	1288
32	sharegpt_000760	eam-workload/processed/prompts_1k/0032_sharegpt_000760.txt	long	1092
33	sharegpt_001603	eam-workload/processed/prompts_1k/0033_sharegpt_001603.txt	short	33
34	sharegpt_001334	eam-workload/processed/prompts_1k/0034_sharegpt_001334.txt	short	96
35	sharegpt_000791	eam-workload/processed/prompts_1k/0035_sharegpt_000791.txt	medium	425
36	sharegpt_001435	eam-workload/processed/prompts_1k/0036_sharegpt_001435.txt	medium	237
37	sharegpt_000482	eam-workload/processed/prompts_1k/0037_sharegpt_000482.txt	medium	1000
38	sharegpt_001108	eam-workload/processed/prompts_1k/0038_sharegpt_001108.txt	short	31
39	sharegpt_000620	eam-workload/processed/prompts_1k/0039_sharegpt_000620.txt	medium	506
40	sharegpt_000080	eam-workload/processed/prompts_1k/0040_sharegpt_000080.txt	medium	843
41	sharegpt_001304	eam-workload/processed/prompts_1k/0041_sharegpt_001304.txt	short	45
42	sharegpt_000858	eam-workload/processed/prompts_1k/0042_sharegpt_000858.txt	short	89
43	sharegpt_001853	eam-workload/processed/prompts_1k/0043_sharegpt_001853.txt	long	2108
44	sharegpt_001581	eam-workload/processed/prompts_1k/0044_sharegpt_001581.txt	short	63
45	sharegpt_001153	eam-workload/processed/prompts_1k/0045_sharegpt_001153.txt	short	73
46	sharegpt_001516	eam-workload/processed/prompts_1k/0046_sharegpt_001516.txt	medium	281
47	sharegpt_000133	eam-workload/processed/prompts_1k/0047_sharegpt_000133.txt	short	50
48	sharegpt_001466	eam-workload/processed/prompts_1k/0048_sharegpt_001466.txt	medium	285
49	sharegpt_001109	eam-workload/processed/prompts_1k/0049_sharegpt_001109.txt	long	2615
50	sharegpt_000194	eam-workload/processed/prompts_1k/0050_sharegpt_000194.txt	medium	423
51	sharegpt_000838	eam-workload/processed/prompts_1k/0051_sharegpt_000838.txt	short	74
52	sharegpt_000151	eam-workload/processed/prompts_1k/0052_sharegpt_000151.txt	medium	462
53	sharegpt_000058	eam-workload/processed/prompts_1k/0053_sharegpt_000058.txt	medium	230
54	sharegpt_001682	eam-workload/processed/prompts_1k/0054_sharegpt_001682.txt	long	2114
55	sharegpt_000886	eam-workload/processed/prompts_1k/0055_sharegpt_000886.txt	medium	255
