seq	ts	stage	label	rss_kb	pss_kb	private_clean_kb	private_dirty_kb	shared_clean_kb	shared_dirty_kb	anonymous_kb	file_kb	swap_kb	smaps_file	extra
0	1781901160.896780662	A	model_mmap_done	232100	228144	8304	219516	4280	0	219516	0	0	000_A_model_mmap_done.smaps_rollup	
1	1781901161.270402043	B	vm_index_done	670332	666377	8304	657748	4280	0	657748	0	0	001_B_vm_index_done.smaps_rollup	regions=291
2	1781901161.586115150	C	subgraph_split_done	1171876	1167919	49108	1118488	4280	0	1118488	0	0	002_C_subgraph_split_done.smaps_rollup	mode=prefill subgraphs=33 group_layers=1
3	1781901161.608615178	D	before_first_graph_compute	1348436	1344480	225248	1118908	4280	0	1118908	0	0	003_D_before_first_graph_compute.smaps_rollup	mode=prefill subgraphs=33
4	1781901161.648343688	E	prefill_layer_done	1634068	1630112	510880	1118908	4280	0	1118908	0	0	004_E_prefill_layer_done.smaps_rollup	layer=0 subgraph=1
5	1781901161.719726375	F	prefill_layer_done	2089828	2085872	966640	1118908	4280	0	1118908	0	0	005_F_prefill_layer_done.smaps_rollup	layer=4 subgraph=5
6	1781901161.818873361	F	prefill_layer_done	2753588	2749633	1630400	1118908	4280	0	1118908	0	0	006_F_prefill_layer_done.smaps_rollup	layer=8 subgraph=9
7	1781901161.921627961	F	prefill_layer_done	3256276	3252321	2133088	1118908	4280	0	1118908	0	0	007_F_prefill_layer_done.smaps_rollup	layer=12 subgraph=13
8	1781901162.007013008	F	prefill_layer_done	3601572	3597617	2478384	1118908	4280	0	1118908	0	0	008_F_prefill_layer_done.smaps_rollup	layer=16 subgraph=17
9	1781901162.094466422	F	prefill_layer_done	4042292	4038335	2919104	1118908	4280	0	1118908	0	0	009_F_prefill_layer_done.smaps_rollup	layer=20 subgraph=21
10	1781901162.192601981	F	prefill_layer_done	4740404	4736449	3617216	1118908	4280	0	1118908	0	0	010_F_prefill_layer_done.smaps_rollup	layer=24 subgraph=25
11	1781901162.295063412	F	prefill_layer_done	5219476	5215516	4096288	1118908	4280	0	1118908	0	0	011_F_prefill_layer_done.smaps_rollup	layer=28 subgraph=29
12	1781901162.410259021	G	prefill_done	5640916	5636961	4517128	1119508	4280	0	1119508	0	0	012_G_prefill_done.smaps_rollup	subgraphs=33
13	1781901162.528318462	C	subgraph_split_done	5642764	5638808	4518216	1120268	4280	0	1120268	0	0	013_C_subgraph_split_done.smaps_rollup	mode=prefill subgraphs=33 group_layers=1
14	1781901162.586761706	D	before_first_graph_compute	5643600	5639645	4518216	1121104	4280	0	1121104	0	0	014_D_before_first_graph_compute.smaps_rollup	mode=prefill subgraphs=33
15	1781901162.651212745	E	prefill_layer_done	5644768	5640810	4518216	1122272	4280	0	1122272	0	0	015_E_prefill_layer_done.smaps_rollup	layer=0 subgraph=1
16	1781901162.964724761	F	prefill_layer_done	5644768	5640814	4518216	1122272	4280	0	1122272	0	0	016_F_prefill_layer_done.smaps_rollup	layer=4 subgraph=5
17	1781901163.295977551	F	prefill_layer_done	5644768	5640812	4518216	1122272	4280	0	1122272	0	0	017_F_prefill_layer_done.smaps_rollup	layer=8 subgraph=9
18	1781901163.569118671	F	prefill_layer_done	5644768	5640810	4518216	1122272	4280	0	1122272	0	0	018_F_prefill_layer_done.smaps_rollup	layer=12 subgraph=13
19	1781901163.876957261	F	prefill_layer_done	5644768	5640811	4518216	1122272	4280	0	1122272	0	0	019_F_prefill_layer_done.smaps_rollup	layer=16 subgraph=17
20	1781901164.167173096	F	prefill_layer_done	5644768	5640813	4518216	1122272	4280	0	1122272	0	0	020_F_prefill_layer_done.smaps_rollup	layer=20 subgraph=21
21	1781901164.451962180	F	prefill_layer_done	5644768	5640814	4518216	1122272	4280	0	1122272	0	0	021_F_prefill_layer_done.smaps_rollup	layer=24 subgraph=25
22	1781901164.759780720	F	prefill_layer_done	5644768	5640814	4518216	1122272	4280	0	1122272	0	0	022_F_prefill_layer_done.smaps_rollup	layer=28 subgraph=29
23	1781901164.996886480	G	prefill_done	5646452	5642497	4518280	1123892	4280	0	1123892	0	0	023_G_prefill_done.smaps_rollup	subgraphs=33
24	1781901165.054117713	C	subgraph_split_done	5646452	5642494	4518280	1123892	4280	0	1123892	0	0	024_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
25	1781901165.160181033	H	before_first_decode_token	5646452	5642497	4518280	1123892	4280	0	1123892	0	0	025_H_before_first_decode_token.smaps_rollup	subgraphs=33
26	1781901165.215016543	I	decode_layer_done	5646452	5642498	4518280	1123892	4280	0	1123892	0	0	026_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
27	1781901165.300967348	I	decode_layer_done	5646452	5642496	4518280	1123892	4280	0	1123892	0	0	027_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
28	1781901165.371955102	I	decode_layer_done	5646452	5642498	4518280	1123892	4280	0	1123892	0	0	028_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
29	1781901165.450718457	I	decode_layer_done	5646456	5642502	4518280	1123896	4280	0	1123896	0	0	029_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
30	1781901165.575916172	I	decode_layer_done	5646456	5642499	4518280	1123896	4280	0	1123896	0	0	030_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
31	1781901165.664956496	I	decode_layer_done	5646456	5642499	4518280	1123896	4280	0	1123896	0	0	031_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
32	1781901165.736583242	I	decode_layer_done	5646456	5642502	4518280	1123896	4280	0	1123896	0	0	032_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
33	1781901165.805873552	I	decode_layer_done	5646456	5642500	4518280	1123896	4280	0	1123896	0	0	033_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
34	1781901165.898039151	J	decode_token_done	5646456	5642498	4518280	1123896	4280	0	1123896	0	0	034_J_decode_token_done.smaps_rollup	subgraphs=33
35	1781901166.017585850	C	subgraph_split_done	5646456	5642502	4518280	1123896	4280	0	1123896	0	0	035_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
36	1781901166.089330494	H	before_first_decode_token	5646456	5642500	4518280	1123896	4280	0	1123896	0	0	036_H_before_first_decode_token.smaps_rollup	subgraphs=33
37	1781901166.183141193	I	decode_layer_done	5646456	5642502	4518280	1123896	4280	0	1123896	0	0	037_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
38	1781901166.238069226	I	decode_layer_done	5646456	5642497	4518280	1123896	4280	0	1123896	0	0	038_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
39	1781901166.353722846	I	decode_layer_done	5646456	5642500	4518280	1123896	4280	0	1123896	0	0	039_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
40	1781901166.407441432	I	decode_layer_done	5646456	5642499	4518280	1123896	4280	0	1123896	0	0	040_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
41	1781901166.473650212	I	decode_layer_done	5646456	5642501	4518280	1123896	4280	0	1123896	0	0	041_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
42	1781901166.572773589	I	decode_layer_done	5646520	5642561	4518344	1123896	4280	0	1123896	0	0	042_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
43	1781901166.636840296	I	decode_layer_done	5646520	5642565	4518344	1123896	4280	0	1123896	0	0	043_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
44	1781901166.691008931	I	decode_layer_done	5646520	5642566	4518344	1123896	4280	0	1123896	0	0	044_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
45	1781901166.746194386	J	decode_token_done	5646520	5642566	4518344	1123896	4280	0	1123896	0	0	045_J_decode_token_done.smaps_rollup	subgraphs=33
46	1781901166.824943740	C	subgraph_split_done	5646520	5642563	4518344	1123896	4280	0	1123896	0	0	046_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
47	1781901166.898451106	H	before_first_decode_token	5646528	5642574	4518344	1123904	4280	0	1123904	0	0	047_H_before_first_decode_token.smaps_rollup	subgraphs=33
48	1781901167.049256065	I	decode_layer_done	5646592	5642633	4518408	1123904	4280	0	1123904	0	0	048_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
49	1781901167.148887279	I	decode_layer_done	5646592	5642636	4518408	1123904	4280	0	1123904	0	0	049_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
50	1781901167.262920093	I	decode_layer_done	5646592	5642635	4518408	1123904	4280	0	1123904	0	0	050_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
51	1781901167.340661536	I	decode_layer_done	5646592	5642636	4518408	1123904	4280	0	1123904	0	0	051_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
52	1781901167.426070446	I	decode_layer_done	5646592	5642637	4518408	1123904	4280	0	1123904	0	0	052_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
53	1781901167.524365533	I	decode_layer_done	5646660	5642703	4518472	1123908	4280	0	1123908	0	0	053_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
54	1781901167.598671077	I	decode_layer_done	5646660	5642706	4518472	1123908	4280	0	1123908	0	0	054_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
55	1781901167.665772641	I	decode_layer_done	5646660	5642706	4518472	1123908	4280	0	1123908	0	0	055_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
56	1781901167.772673071	J	decode_token_done	5646660	5642705	4518472	1123908	4280	0	1123908	0	0	056_J_decode_token_done.smaps_rollup	subgraphs=33
57	1781901167.872771312	C	subgraph_split_done	5646660	5642706	4518472	1123908	4280	0	1123908	0	0	057_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
58	1781901167.964721801	H	before_first_decode_token	5646724	5642770	4518536	1123908	4280	0	1123908	0	0	058_H_before_first_decode_token.smaps_rollup	subgraphs=33
